duration,src_bytes,dst_bytes,packet_count,protocol,failed_logins
45,825,1144,50,UDP,0
35,236,411,5,TCP,0
51,2688,608,30,UDP,0
42,2405,1605,29,TCP,0
11,1014,707,21,TCP,0
2,6080,347,258,TCP,0
24,798,1789,6,UDP,0
26,538,269,27,UDP,4
39,2101,120,41,UDP,0
10,284,97,208,UDP,0
1,72,144,95,TCP,0
4,5242,107,259,TCP,0
16,2037,209,21,UDP,0
43,213,1008,21,TCP,0
34,2653,977,29,UDP,0
49,1695,670,23,TCP,0
2,6216,458,247,TCP,0
46,1761,774,23,TCP,0
6,224,43,97,TCP,0
13,332,311,32,UDP,0
39,502,190,57,UDP,7
5,6976,349,123,TCP,0
52,1327,723,9,TCP,0
14,100,287,72,UDP,4
27,424,1445,46,UDP,0
10,243,26,164,UDP,0
42,2352,100,16,TCP,0
5,128,179,115,TCP,0
25,416,290,16,UDP,7
16,1308,436,47,UDP,0
5,7022,116,952,TCP,0
49,2744,1006,25,UDP,0
8,1346,1676,23,TCP,0
37,330,380,35,UDP,3
45,2612,955,14,TCP,0
